No,NAME,FOLLOWERS,ER,COUNTRY,Topic_of_Influence,POTENTIAL_REACH,channel_name,total_subscribers,total_views,total_videos
74,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15000000,10.30%,India,,4500000,Gyan Gamingㅤ,16900000,2707962350,3798
75,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14500000,-,India,,4400000,Team Films Bhojpuri,16700000,6875311575,20112
76,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14400000,-,India,Video Gaming,4300000,Shorts Break,45500000,33381709673,727
77,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14400000,-,India,,4300000,SRK MUSIC,18300000,7654954409,5441
78,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14300000,4.30%,India,,4300000,Mazhavil Manorama,19600000,22443677864,126715
79,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14200000,-,India,,4300000,DM - Desi Melodies,20200000,7547867646,582
80,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14000000,-,India,,4200000,ZEE5,17200000,21714515953,158358
81,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14000000,-,India,,4200000,Sony Music South,19100000,16571896464,4263
82,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13900000,-,India,,4200000,MY FAMILY,18500000,7340579672,371
83,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13800000,-,India,,4100000,infobells,14400000,5647567055,634
84,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13800000,0.10%,India,Celebrity,4100000,The MriDul,18500000,5680403533,230
85,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13500000,-,India,,4100000,MyMissAnand,13900000,5390371835,465
86,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13500000,-,India,,4100000,Anaysa,13700000,3690168943,659
87,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13300000,-,India,,4000000,NishaMadhulika,14700000,3343745331,2341
88,MyMissAnand @UCpCWa9f5_J3PqY-_Lg-_QfQ,13200000,0.20%,India,,4000000,ETV Jabardasth,15100000,15180729042,13267
89,Anaysa @UCuN4A3GCUq5-0wJDSiJoxRQ,13200000,0.10%,India,Fashion Beauty,4000000,Mythpat,16000000,3764766343,409
90,NishaMadhulika @UCgoxyzvouZM-tCgsYzrYtyg,13100000,-,India,,3900000,Desi Gamers,16600000,2671768755,1448
91,ETV Jabardasth @UCnoqvTW4YZExfDeq7_Wmd-w,13000000,-,India,,3900000,Zee Bangla,18300000,13760143857,166020
92,Mythpat @UCx6F-rETGiz7xf_vkMmX2yQ,13000000,-,India,Video Gaming,3900000,CookingShooking Hindi,13400000,1920200825,393
93,Desi Gamers @UCuApqv2tNQ73S7gcfrfCSDw,13000000,0.50%,India,,3900000,Zee Telugu,16400000,14260416353,194777
94,Zee Bangla @UCeMsqI6jU9WE2ctsrbxbywQ,13000000,-,India,,3900000,Dear Sir,19600000,1902021884,1003
95,Lotus Music @UCJeeXUtsKBj89Ra1nszP4JQ,12900000,-,India,Music,3900000,T-Series Hamaar Bhojpuri,20400000,10293516257,10646
96,CookingShooking Hindi @UCTbNOCtAGaqOEnLMeo3JTeg,12800000,-,India,,3800000,Health Time,12400000,1028227571,2359
